cluster,sprint,mile,intermediate,long,n_sires,cluster_name
0,0.15798733046544525,0.08739919477438801,0.09142322331389176,0.006083459024635495,65,短距離 (〜1400m)
1,0.25998972779145413,0.2244618847126477,0.26064150275702125,0.09875644702062951,74,中距離 (1800〜2400m)
2,0.09674034737248455,0.20345886184217712,0.18880028716800307,0.0212230221454956,68,マイル (1400〜1800m)
3,0.2420140054205368,0.21646548267119334,0.2327878025114369,0.8479591836734695,14,長距離 (2400〜2800m)
4,0.12891858539123896,0.14616733065267118,0.16582913236439847,0.34952099273263587,39,長距離 (2400〜2800m)
5,0.37848611138629734,0.4433061745715791,0.4483209762264977,0.0,12,中距離 (1800〜2400m)
