sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,アフリートAfleet(加),エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アイルハヴアナザーI'll Have Another(米),0.2636363636363636,,,,,0.12121212121212122,,,0.057971014492753624,,0.4,0.22093023255813954,,0.3,0.06666666666666667,0.0963855421686747,0.10526315789473684,0.0,0.08333333333333333,0.13157894736842105,0.14285714285714285,0.2826086956521739,0.16216216216216217,,,0.2987012987012987,0.3010752688172043,0.29411764705882354,0.13095238095238096,
アジアエクスプレス,0.2549019607843137,0.4117647058823529,0.04,0.6,0.07692307692307693,0.12162162162162163,0.46153846153846156,0.33962264150943394,0.09375,,,0.25,0.0,0.2459016393442623,0.4,0.2692307692307692,0.12121212121212122,0.08,,0.20270270270270271,0.1875,0.2727272727272727,0.2796610169491525,0.2345679012345679,0.0,0.24444444444444444,0.15,0.13636363636363635,0.24,0.1875
エスポワールシチー,0.2,0.09523809523809523,,0.42424242424242425,,0.1875,0.21428571428571427,0.19047619047619047,,0.23728813559322035,,,0.36,,,,0.25,0.1875,,,,,,,,0.1875,0.18840579710144928,,0.5454545454545454,0.3684210526315789
エピファネイア,0.22727272727272727,,,,0.20833333333333334,0.17073170731707318,,0.15625,0.0,,0.3333333333333333,,,0.19230769230769232,0.375,,0.08571428571428572,,,0.16071428571428573,0.13333333333333333,0.2,0.3125,0.0,,0.125,0.3275862068965517,0.15384615384615385,0.0,0.125
オルフェーヴル,0.2,,0.058823529411764705,,,0.25196850393700787,,0.1773049645390071,,0.2,0.14925373134328357,,0.1509433962264151,,,,,0.36,0.2413793103448276,0.2647058823529412,,0.07692307692307693,,,,,0.2702702702702703,0.16666666666666666,,
カレンブラックヒル,,,0.034482758620689655,,0.25,0.19,,0.08333333333333333,,0.08333333333333333,0.23529411764705882,,0.2857142857142857,,,,,0.19148936170212766,,,0.4117647058823529,,,0.35714285714285715,,,0.2,0.24285714285714285,0.2222222222222222,0.2692307692307692
キズナ,0.26666666666666666,0.5294117647058824,0.13157894736842105,0.31645569620253167,0.42592592592592593,0.3072916666666667,,0.2708333333333333,,0.4583333333333333,0.25925925925925924,,0.32608695652173914,,,0.08333333333333333,,0.12903225806451613,0.14583333333333334,,,,,,0.16666666666666666,,0.2972972972972973,0.1509433962264151,,0.2222222222222222
キングカメハメハ,0.1724137931034483,0.13636363636363635,,,,,0.42857142857142855,0.3442622950819672,,,0.3333333333333333,0.23529411764705882,0.4166666666666667,0.3076923076923077,0.2,0.2631578947368421,0.125,,,,0.2926829268292683,0.16842105263157894,0.4,0.3877551020408163,,0.3253968253968254,0.3064516129032258,,0.35714285714285715,
キンシャサノキセキ,,0.4583333333333333,0.21875,0.1724137931034483,0.25,0.2773722627737226,0.10606060606060606,0.2624113475177305,,,0.36363636363636365,,0.30612244897959184,0.3076923076923077,,,,0.323943661971831,0.0625,,,0.1,0.23076923076923078,,,,0.2982456140350877,0.2,0.4166666666666667,0.24615384615384617
コパノリッキー,0.375,0.2716049382716049,0.17647058823529413,0.11666666666666667,0.2608695652173913,0.3333333333333333,,0.225,,0.09090909090909091,0.08333333333333333,,0.11428571428571428,0.0,,,,0.23076923076923078,,,,,0.0,0.17307692307692307,0.2,0.3333333333333333,0.1388888888888889,0.13157894736842105,0.29545454545454547,0.0
ゴールドアリュール,,0.06666666666666667,,0.07692307692307693,,0.25,,0.3684210526315789,,0.07692307692307693,0.2631578947368421,,0.15,0.20512820512820512,,,,,0.2727272727272727,,,,,,,,,0.35135135135135137,,0.1875
サウスヴィグラス,0.234375,0.03225806451612903,,0.06666666666666667,,0.2631578947368421,,0.1,0.45,,0.2857142857142857,0.09523809523809523,0.17647058823529413,,0.4117647058823529,0.14035087719298245,0.30303030303030304,0.2571428571428571,0.3181818181818182,0.3181818181818182,0.15384615384615385,,0.05263157894736842,,,0.3,,,0.13829787234042554,0.3023255813953488
シニスターミニスターSinister Minister(米),0.3108108108108108,0.3888888888888889,0.43478260869565216,0.37209302325581395,0.12,0.3333333333333333,0.3148148148148148,0.25663716814159293,0.2891566265060241,0.32786885245901637,0.058823529411764705,0.26,0.2761904761904762,,,0.47619047619047616,0.2,0.3125,0.2,0.22784810126582278,0.1694915254237288,0.2988505747126437,0.3235294117647059,0.34545454545454546,0.3181818181818182,0.21333333333333335,0.2682926829268293,0.35106382978723405,0.3333333333333333,0.28125
ジャスタウェイ,0.06666666666666667,0.0,0.16666666666666666,0.19444444444444445,,0.18518518518518517,0.4,0.22807017543859648,,,0.48148148148148145,,0.19101123595505617,,,,,0.15625,0.2,,0.16,0.16666666666666666,0.0,,0.125,,0.35714285714285715,0.2608695652173913,0.09090909090909091,
ダイワメジャー,,,,,,0.20270270270270271,0.1,0.140625,,,,,0.1927710843373494,,,,,0.25,,,,,,,,,0.3333333333333333,0.2,,0.2962962962962963
ダンカークDunkirk(米),0.04878048780487805,,,,,0.21428571428571427,0.1875,0.3114754098360656,0.11428571428571428,0.1111111111111111,0.28,0.0,0.13333333333333333,0.11764705882352941,0.0,0.0,0.15384615384615385,0.17647058823529413,,0.2571428571428571,0.09433962264150944,0.22727272727272727,0.15555555555555556,0.2,0.5294117647058824,0.10416666666666667,0.2857142857142857,0.2222222222222222,0.23636363636363636,
ディスクリートキャットDiscreet Cat(米),,0.10526315789473684,0.15,,0.11538461538461539,,,0.0,0.25301204819277107,0.3069306930693069,,,0.3,0.36363636363636365,,0.19642857142857142,0.16,0.15789473684210525,0.0,0.1935483870967742,0.041666666666666664,0.0625,0.0,0.14285714285714285,,0.20930232558139536,0.09523809523809523,,0.21428571428571427,0.38636363636363635
ドゥラメンテ,0.23076923076923078,,,0.3333333333333333,,,0.15625,0.3,0.2727272727272727,,0.23076923076923078,,0.25862068965517243,,,0.2692307692307692,0.0,0.5454545454545454,0.0,0.041666666666666664,0.0,0.25806451612903225,0.25,0.125,0.23529411764705882,0.3235294117647059,0.2727272727272727,0.14285714285714285,0.35,
ドレフォンDrefong(米),0.18604651162790697,,0.22580645161290322,0.55,0.7142857142857143,0.2708333333333333,0.4166666666666667,0.24324324324324326,0.3418803418803419,0.4523809523809524,0.12,0.19318181818181818,0.2696629213483146,0.47368421052631576,0.045454545454545456,0.28205128205128205,0.2116788321167883,,,0.25203252032520324,0.21176470588235294,0.2968197879858657,0.2,0.25196850393700787,0.045454545454545456,0.325,0.3870967741935484,0.34375,0.3584905660377358,
ハーツクライ,,,,,,0.2222222222222222,,0.2727272727272727,,,0.27941176470588236,,0.38095238095238093,,,,,0.25,,,,,,,,,0.4090909090909091,0.16279069767441862,,
パイロPyro(米),0.20967741935483872,,0.1724137931034483,0.13846153846153847,0.27586206896551724,0.3096774193548387,,0.25,0.2714285714285714,0.21739130434782608,,0.2,0.25,0.3888888888888889,,0.2711864406779661,0.16666666666666666,0.2777777777777778,,0.22727272727272727,0.1839080459770115,,0.24615384615384617,0.1111111111111111,0.45454545454545453,0.30666666666666664,0.22388059701492538,0.26229508196721313,0.3557692307692308,0.7272727272727273
ヘニーヒューズHenny Hughes(米),0.2962962962962963,0.23076923076923078,0.20212765957446807,0.3157894736842105,0.21212121212121213,0.30985915492957744,0.38144329896907214,0.2625,0.2875,0.2826086956521739,0.2857142857142857,0.232,0.35454545454545455,0.2558139534883721,0.2647058823529412,0.30718954248366015,0.22137404580152673,0.21739130434782608,0.3157894736842105,0.28342245989304815,0.2127659574468085,0.3108108108108108,0.26119402985074625,0.1792452830188679,0.46153846153846156,0.30980392156862746,0.28846153846153844,0.3359375,0.2926829268292683,0.2962962962962963
ホッコータルマエ,0.3116883116883117,0.20754716981132076,0.1724137931034483,0.3,0.358695652173913,,0.29545454545454547,0.25,0.21374045801526717,,0.2692307692307692,0.3939393939393939,0.3170731707317073,0.3,0.16279069767441862,0.1568627450980392,0.22641509433962265,0.0,0.225,0.2894736842105263,0.21428571428571427,0.17391304347826086,0.19008264462809918,0.14,0.5,0.06779661016949153,0.13793103448275862,0.2682926829268293,0.21348314606741572,0.21951219512195122
マクフィMakfi(英),0.17857142857142858,,0.0625,,0.38,0.2711864406779661,,0.09090909090909091,0.0,0.38461538461538464,0.14285714285714285,0.29411764705882354,0.2558139534883721,,0.06666666666666667,0.32432432432432434,0.208955223880597,,,0.16666666666666666,0.2235294117647059,0.08888888888888889,0.19047619047619047,0.2631578947368421,,0.28,0.2857142857142857,,0.041666666666666664,
マジェスティックウォリアーMajestic Warrior(米),0.3150684931506849,,0.32,0.09090909090909091,0.4189189189189189,0.2542372881355932,0.0,0.030303030303030304,0.24157303370786518,0.11428571428571428,0.3157894736842105,0.06666666666666667,0.21649484536082475,0.05263157894736842,0.1935483870967742,0.1513157894736842,0.19402985074626866,0.04,,0.15966386554621848,0.18181818181818182,0.26136363636363635,0.29850746268656714,0.2602739726027397,0.047619047619047616,0.3375796178343949,0.19047619047619047,0.3230769230769231,0.2876712328767123,0.2698412698412698
ミッキーアイル,,,0.0,,0.3611111111111111,0.18421052631578946,,0.3333333333333333,,0.0967741935483871,,,0.40625,0.0,,,0.08333333333333333,0.3,0.2727272727272727,,,,,,0.2,0.18181818181818182,0.39215686274509803,0.4,0.22727272727272727,
モーリス,0.22448979591836735,,0.0,0.3333333333333333,0.15384615384615385,0.19753086419753085,,0.2222222222222222,,0.4,0.14634146341463414,0.25,0.15384615384615385,0.15384615384615385,0.15151515151515152,0.14285714285714285,0.21428571428571427,0.5416666666666666,0.06666666666666667,0.22916666666666666,0.3411764705882353,0.11206896551724138,0.4578313253012048,,0.25,0.30952380952380953,0.1744186046511628,0.0,0.20588235294117646,
リオンディーズ,0.2972972972972973,0.0,0.0625,,0.5625,,,0.2875816993464052,0.24,,0.16666666666666666,0.0,0.2894736842105263,0.15384615384615385,,,0.06896551724137931,,0.2777777777777778,0.13157894736842105,0.10344827586206896,0.19230769230769232,0.16666666666666666,0.27906976744186046,0.07692307692307693,0.2894736842105263,0.2833333333333333,0.44,0.2413793103448276,
ルーラーシップ,0.2084942084942085,0.05555555555555555,0.12903225806451613,0.21052631578947367,0.31343283582089554,,,0.15,0.2676056338028169,,0.30434782608695654,0.24786324786324787,0.15333333333333332,0.25925925925925924,0.17073170731707318,0.23204419889502761,0.14942528735632185,0.0,0.2857142857142857,0.21052631578947367,0.13829787234042554,0.16455696202531644,0.1,0.08695652173913043,0.16666666666666666,0.24096385542168675,0.16666666666666666,0.23404255319148937,0.2235294117647059,
ロードカナロア,0.1752136752136752,0.35294117647058826,0.34615384615384615,,0.13513513513513514,,0.3181818181818182,0.23873873873873874,0.17647058823529413,,0.3333333333333333,0.21226415094339623,0.25,0.23529411764705882,0.07142857142857142,0.2579185520361991,0.21818181818181817,0.2,,0.27102803738317754,0.19607843137254902,0.1258741258741259,0.25471698113207547,0.24822695035460993,,0.24875621890547264,0.29523809523809524,0.41818181818181815,0.34782608695652173,
