,sprint,mile,intermediate,long
sprint,1.0000000000000004,0.8919405147605854,0.6932340021838543,0.39341395722046935
mile,0.8919405147605854,1.0,0.89630612184377,0.6203252781339332
intermediate,0.6932340021838543,0.89630612184377,0.9999999999999998,0.7836468853746491
long,0.39341395722046935,0.6203252781339332,0.7836468853746491,1.0000000000000004
