cluster,sprint,mile,intermediate,long,extended,n_sires,cluster_name
0,0.17453695972218447,0.1700877057079955,0.1921018732328477,0.1818760487888973,0.3068572252892474,118,超長距離 (2800m〜)
1,0.30952517255610484,0.18791276460097128,0.14612638758639038,0.03040261825091546,0.018010451268164515,57,短距離 (〜1400m)
2,0.17246729757589685,0.2598237559835081,0.25251690213635475,0.15913742806382095,0.037458936549276296,63,マイル (1400〜1800m)
3,0.38415358131202537,0.3830541679767069,0.4761925921340145,0.032407407407407406,0.009259259259259259,18,中距離 (1800〜2400m)
4,0.17931183698034617,0.14998568508172,0.18797505047418017,0.8690476190476191,0.12854853479853479,13,長距離 (2400〜2800m)
5,0.09089940906545789,0.09385434941752623,0.1050548832702092,0.07170181318889497,0.03949644266149934,86,中距離 (1800〜2400m)
