,sprint,mile,intermediate,long,extended
sprint,0.9999999999999993,0.8651839234303272,0.5871564667200243,0.36756722517544416,0.4976292671296817
mile,0.8651839234303272,0.9999999999999996,0.8652205936757349,0.6562488994395013,0.6876251366593686
intermediate,0.5871564667200243,0.8652205936757349,0.9999999999999998,0.9179842485510804,0.8429931359057978
long,0.36756722517544416,0.6562488994395013,0.9179842485510804,1.0000000000000002,0.872402816375822
extended,0.4976292671296817,0.6876251366593686,0.8429931359057978,0.872402816375822,0.9999999999999996
