sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,0.4166666666666667
エイシンフラッシュ,,,,,,,,,0.2222222222222222,0.2,0.28,,0.1875,,0.1,,0.3076923076923077,,,0.48,,,0.15789473684210525,,,,0.18181818181818182,
エピファネイア,,,,,,,0.38461538461538464,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,0.3,,,0.5833333333333334,0.4166666666666667,,,,0.42857142857142855,,,,,,,,,,,,0.34782608695652173,,,,
キズナ,,,0.7391304347826086,,,,,0.3333333333333333,,,,,,,0.4,,,,,,,,,0.3,,,,
キングカメハメハ,,,,,,,,,,,0.2653061224489796,,,0.3333333333333333,,,,,,0.36,,,,0.07142857142857142,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,
キンシャサノキセキ,0.41379310344827586,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,0.35714285714285715,,,,,,,,,,0.4,,0.1,,,,,
ゴールドシップ,,,,,,,0.36363636363636365,,,,,,,,,,,,,,,,,0.3333333333333333,0.6428571428571429,,,
ジャスタウェイ,,,,,,,0.3333333333333333,,,,,0.1875,,,,,,0.13333333333333333,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,0.4117647058823529,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,0.36363636363636365,0.21739130434782608,,,,0.13793103448275862,,,,,,,,,,,,,,,,
ディープインパクト,0.3,,,,,,0.4666666666666667,,,,,,,,,,,,,,,,,,,0.5,,
トゥザグローリー,,,,,,,,,,0.037037037037037035,,,,,,0.25,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,0.2857142857142857,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,0.4666666666666667,,,0.42857142857142855,,,,,,,0.08333333333333333,,,,,,0.5,0.42857142857142855,,,,,,,
ハーツクライ,,0.2631578947368421,,,,,0.25925925925925924,,,0.4583333333333333,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,0.6666666666666666,,,,,,,0.4722222222222222,,,0.42857142857142855,,,,,,0.4,0.0625,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,
ブラックタイド,,,,,,0.08333333333333333,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,0.5833333333333334,,,,,0.09090909090909091,,0.4,,,,,,,,,,,,,,
マツリダゴッホ,,,,,0.1875,,,,,,,,,,,,,,,,,,,,0.3939393939393939,0.5416666666666666,,
マンハッタンカフェ,,,,,,,,,,,,,,,,0.19230769230769232,,,,,,,,,,,,
メイショウサムソン,,,,0.5,,,,,,,0.45454545454545453,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,0.24,,,
ルーラーシップ,,,,0.3,,,,0.2903225806451613,,,0.28,0.6923076923076923,,0.3,,,,0.08,,0.42857142857142855,0.15789473684210525,0.2,0.3076923076923077,,,,,0.2631578947368421
ロードカナロア,,,,,,,,,,,,0.5128205128205128,,,,,,,,0.0,,0.5,,,,,,
ヴィクトワールピサ,,,,,,0.625,,,,,,,,,,,,,,,,,,,0.6190476190476191,,,
