sire,long,extended
アイルハヴアナザーI'll Have Another(米),0.0,0.1111111111111111
アドマイヤムーン,0.0,0.32926829268292684
エイシンフラッシュ,0.5217391304347826,0.22549019607843138
エピファネイア,0.0,0.23595505617977527
オルフェーヴル,0.0,0.36363636363636365
キズナ,0.32,0.44554455445544555
キタサンブラック,0.0,0.4745762711864407
キングカメハメハ,0.3076923076923077,0.27717391304347827
キングヘイロー,0.0,0.24561403508771928
キンシャサノキセキ,0.0,0.24358974358974358
クロフネ,0.0,0.256198347107438
ゴールドアリュール,0.0,0.2857142857142857
ゴールドシップ,0.0,0.2751677852348993
シニスターミニスターSinister Minister(米),0.0,0.18
シンボリクリスエス,0.0,0.12
ジャスタウェイ,0.0,0.27611940298507465
ジャングルポケット,0.0,0.21818181818181817
スクリーンヒーロー,0.0,0.25396825396825395
ステイゴールド,0.0,0.3493150684931507
ストロングリターン,0.0,0.16279069767441862
ダイワメジャー,0.17647058823529413,0.2674897119341564
ダンカークDunkirk(米),0.0,0.2653061224489796
ディープインパクト,0.525,0.35789473684210527
トゥザグローリー,0.0,0.17567567567567569
トランセンド,0.0,0.28
ドゥラメンテ,0.0,0.32142857142857145
ドリームジャーニー,0.0,0.3617021276595745
ドレフォンDrefong(米),0.0,0.21818181818181817
ネオユニヴァース,0.0,0.13095238095238096
ノヴェリストNovellist(愛),0.0,0.375
ハーツクライ,0.34375,0.28512396694214875
ハービンジャーHarbinger(英),0.0,0.3821138211382114
バゴBago(仏),0.0,0.2037037037037037
フェノーメノ,0.0,0.2125
ブラックタイド,0.25806451612903225,0.329608938547486
ベルシャザール,0.0,0.20408163265306123
ベーカバドBehkabad(仏),0.0,0.1702127659574468
ホッコータルマエ,0.0,0.13559322033898305
マジェスティックウォリアーMajestic Warrior(米),0.0,0.2753623188405797
マツリダゴッホ,0.21212121212121213,0.21019108280254778
マンハッタンカフェ,0.0,0.25555555555555554
メイショウサムソン,0.0,0.34285714285714286
メイショウボーラー,0.0,0.19148936170212766
モンテロッソMonterosso(英),0.0,0.1956521739130435
モーリス,0.0,0.18181818181818182
リーチザクラウン,0.3,0.15873015873015872
ルーラーシップ,0.3235294117647059,0.2886178861788618
ロードカナロア,0.0,0.2727272727272727
ワールドエース,0.0,0.32
ヴィクトワールピサ,0.0,0.30275229357798167
