cluster,long,extended,n_sires,cluster_name
0,0.45021708683473394,0.37348063803859904,6,長距離 (2400〜2800m)
1,0.2350089304634759,0.16534227756296616,11,長距離 (2400〜2800m)
2,0.039141414141414144,0.3546299325463156,8,超長距離 (2800m〜)
3,0.5531209263093321,0.20976453381109975,9,長距離 (2400〜2800m)
4,0.25178868471029286,0.2724429994388378,20,超長距離 (2800m〜)
5,0.009259259259259259,0.17778461397920736,9,超長距離 (2800m〜)
