cluster,sprint,mile,intermediate,long,extended,n_sires,cluster_name
0,0.22479946133928674,0.21014195597406926,0.23050743549605934,0.34153414014449557,0.09388676813382694,50,長距離 (2400〜2800m)
1,0.11061084432145539,0.16272299939066176,0.1719409333253817,0.10834984028165846,0.004797979797979798,66,中距離 (1800〜2400m)
2,0.30228941491450795,0.2229897798033184,0.11132478124711087,0.01595568783068783,0.0,32,短距離 (〜1400m)
3,0.12441528641024766,0.046667204788009065,0.062223981651211166,0.036450652281906734,0.011255411255411256,55,短距離 (〜1400m)
4,0.2743699586672874,0.30424402973340336,0.4304532922240632,0.0748056892916706,0.0,18,中距離 (1800〜2400m)
5,0.1900132205447052,0.1818410014213661,0.21359918235739736,0.276729239983429,0.6587301587301587,9,超長距離 (2800m〜)
