sire,Galileo(愛),Storm Cat(米),アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),ファルブラヴFalbrav(愛),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米)
イスラボニータ,0.4,,,,,,0.04081632653061224,0.11764705882352941,0.08333333333333333,0.2,,0.09090909090909091,0.10714285714285714,0.06666666666666667,,,0.2619047619047619,0.0,0.0,,0.10526315789473684,,0.1794871794871795,0.25,,,0.17391304347826086,0.11764705882352941,0.16,0.0
エイシンフラッシュ,,,0.1015625,,,,0.08571428571428572,0.09090909090909091,0.3076923076923077,,0.1134020618556701,0.037037037037037035,0.09166666666666666,,0.13793103448275862,0.07936507936507936,,,0.05263157894736842,0.18085106382978725,0.08552631578947369,0.06060606060606061,0.0,0.07142857142857142,,0.11627906976744186,0.13043478260869565,,0.08695652173913043,
エピファネイア,0.23529411764705882,0.09523809523809523,0.18947368421052632,0.0,0.1,0.23076923076923078,0.1881918819188192,0.16666666666666666,0.20408163265306123,0.12857142857142856,0.13636363636363635,,0.13934426229508196,0.2,,0.22180451127819548,,0.28888888888888886,0.16546762589928057,0.18857142857142858,0.2175032175032175,0.24271844660194175,0.16842105263157894,0.21212121212121213,0.14285714285714285,0.17073170731707318,0.07692307692307693,0.13636363636363635,0.10743801652892562,
オルフェーヴル,0.06666666666666667,0.14893617021276595,0.18181818181818182,0.13043478260869565,0.0,,0.09881422924901186,0.15384615384615385,0.21875,0.12345679012345678,,0.19298245614035087,0.10606060606060606,,0.0,,0.17391304347826086,0.125,,0.1,0.08571428571428572,0.1,0.0,0.13333333333333333,0.23529411764705882,0.047619047619047616,0.058823529411764705,0.05,0.16,0.29411764705882354
キズナ,0.20192307692307693,,,0.2894736842105263,0.11320754716981132,0.2222222222222222,0.20735785953177258,0.30612244897959184,0.16911764705882354,0.0847457627118644,,0.2947976878612717,0.20408163265306123,,0.1206896551724138,0.23684210526315788,0.125,0.3793103448275862,0.0,,,,,0.3055555555555556,0.08620689655172414,,0.24509803921568626,0.09574468085106383,,
キタサンブラック,0.5,,,0.3125,0.2608695652173913,0.22727272727272727,0.292817679558011,0.38461538461538464,0.27419354838709675,,,0.2727272727272727,0.2727272727272727,,,,0.09090909090909091,,0.14285714285714285,,,0.42857142857142855,0.07692307692307693,0.28125,0.3076923076923077,,0.25,0.2608695652173913,,0.45454545454545453
キングカメハメハ,0.0,0.1951219512195122,0.21428571428571427,0.18181818181818182,,,,0.4,0.25882352941176473,0.15,0.13675213675213677,0.09615384615384616,0.14634146341463414,0.09090909090909091,0.24166666666666667,0.1111111111111111,,,0.34782608695652173,0.3114754098360656,0.25,0.22727272727272727,0.18571428571428572,,0.15151515151515152,0.0392156862745098,0.14457831325301204,,0.09302325581395349,
キンシャサノキセキ,0.05128205128205128,,0.15384615384615385,,,,0.1320754716981132,0.0,0.05,0.10606060606060606,,0.0,0.2,,0.0,,0.16666666666666666,0.0,,,0.42105263157894735,,,,,,0.06451612903225806,,,
ゴールドシップ,,,0.18867924528301888,0.11009174311926606,0.15217391304347827,,0.0625,,0.14285714285714285,,,0.045454545454545456,0.0,,0.3076923076923077,0.15,0.3125,0.2625,,,0.07142857142857142,,,0.1111111111111111,,,0.23636363636363636,0.13953488372093023,,0.20114942528735633
サトノダイヤモンド,0.42857142857142855,0.06666666666666667,0.0,,0.0,,0.21212121212121213,,0.1,0.12280701754385964,,0.2631578947368421,0.16666666666666666,0.125,,,0.041666666666666664,0.13333333333333333,,,,,,,,,0.2,0.09090909090909091,,
シルバーステート,,,0.0,0.3,0.3333333333333333,0.13953488372093023,0.18705035971223022,0.21052631578947367,0.10606060606060606,0.0,,0.09090909090909091,,,0.3076923076923077,0.18181818181818182,0.11764705882352941,0.0,,0.3888888888888889,,0.0,0.16666666666666666,0.2558139534883721,,0.08333333333333333,0.13513513513513514,0.043478260869565216,0.18421052631578946,
ジャスタウェイ,,0.08,0.30434782608695654,0.0,0.125,,0.1329479768786127,,0.05263157894736842,0.09090909090909091,,0.1834862385321101,0.07692307692307693,,,,0.13636363636363635,0.0,,0.18518518518518517,0.25,0.08333333333333333,,0.15151515151515152,0.17647058823529413,,0.18421052631578946,0.0,0.07142857142857142,
スクリーンヒーロー,,,0.05128205128205128,0.19101123595505617,,0.3125,0.1,0.24,0.10416666666666667,,,0.125,0.5454545454545454,0.11290322580645161,,,0.0,,0.2857142857142857,0.25757575757575757,0.1,0.03125,0.0,0.19230769230769232,,,0.09090909090909091,,0.21739130434782608,0.14666666666666667
ダイワメジャー,0.0967741935483871,,,,,0.38461538461538464,0.12337662337662338,0.08333333333333333,0.06,0.16666666666666666,,0.11428571428571428,0.18823529411764706,,,,0.3023255813953488,0.0,,,,,,,,,0.21052631578947367,0.15789473684210525,,
ディープインパクト,0.1836734693877551,0.21354166666666666,,0.4166666666666667,,,0.2704626334519573,0.19298245614035087,0.25217391304347825,0.10344827586206896,,0.39655172413793105,,,,,0.0967741935483871,,,,,,,,0.3333333333333333,,0.15584415584415584,0.1301775147928994,,
