,sprint,mile,intermediate,long,extended
sprint,1.0,0.8152644312656011,0.5459165377668004,0.39744251951215626,0.3222511474551051
mile,0.8152644312656011,1.0000000000000004,0.8631872896958961,0.6949989015563958,0.5806226047503809
intermediate,0.5459165377668004,0.8631872896958961,0.9999999999999993,0.9423561644887477,0.7757576490219793
long,0.39744251951215626,0.6949989015563958,0.9423561644887477,0.9999999999999998,0.8635577131513581
extended,0.3222511474551051,0.5806226047503809,0.7757576490219793,0.8635577131513581,1.0
