split,mae,rmse,mean_spearman,score,n_pairs,n_races,mae_improve_vs_train_baseline
train,17.87398734370701,39.83208133290066,-0.037074958492310926,17.948137260691635,32711,2993,0.0
valid,21.235689578219148,66.72082153771905,-0.005439326296839886,21.246568230812827,17924,1637,3.361702234512137
test,21.292650807136788,76.71028103382483,-0.06666206121045265,21.425974929557693,16478,1491,3.418663463429777
train_sample,15.799562062062062,41.975479057326936,-0.014739421670076153,15.829040905402215,7992,724,-2.074425281644949
train_full,15.891314848216197,38.80735764396245,-0.02051691690521821,15.932348682026634,32711,2993,-1.9826724954908137
valid,18.493070743137693,65.65020797349185,0.006870609667429768,18.479329523802832,17924,1637,0.6190833994306821
test,19.724578225512804,76.19042636253276,-0.04497200977404043,19.814522245060886,16478,1491,1.8505908818057932
all,17.527337475600852,57.53585153235892,-0.01911163784142168,17.565560751283694,67113,6121,-0.3466498681061587
