sire,n_runners,sire_line,avg_distance,dist_sprint_rate,dist_sprint_top3,dist_mile_rate,dist_mile_top3,dist_middle_rate,dist_middle_top3,dist_long_rate,dist_long_top3,surf_芝_rate,surf_芝_top3,surf_ダート_rate,surf_ダート_top3,tc_良_rate,tc_良_top3,tc_稍重_rate,tc_稍重_top3,tc_重_rate,tc_重_top3,tc_不良_rate,tc_不良_top3,venue_札幌_rate,venue_札幌_top3,venue_函館_rate,venue_函館_top3,venue_福島_rate,venue_福島_top3,venue_新潟_rate,venue_新潟_top3,venue_東京_rate,venue_東京_top3,venue_中山_rate,venue_中山_top3,venue_中京_rate,venue_中京_top3,venue_京都_rate,venue_京都_top3,venue_阪神_rate,venue_阪神_top3,venue_小倉_rate,venue_小倉_top3,overall_top3_rate,overall_win_rate,mstn_allele_c,mstn_allele_t,line_その他,line_エーピーインディ系,line_キングカメハメハ系,line_サドラーズウェルズ系,line_サンデーサイレンス系,line_ストームキャット系,line_デインヒル系,line_デピュティミニスター系,line_ノーザンダンサー系,line_ミスタープロスペクター系,line_ロベルト系
コントレイル,87,サンデーサイレンス系,1848.888888888889,0.044444444444444446,0.0,0.2,0.1111111111111111,0.7555555555555555,0.20588235294117646,0.0,0.0,0.5172413793103449,0.17777777777777778,0.0,0.0,0.9080459770114943,0.20253164556962025,0.08045977011494253,0.14285714285714285,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.25287356321839083,0.13636363636363635,0.05747126436781609,0.0,0.25287356321839083,0.18181818181818182,0.3333333333333333,0.3448275862068966,0.06896551724137931,0.0,0.19540229885057472,0.04597701149425287,0.15,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ゴールドシップ,149,サンデーサイレンス系,2200.4123711340208,0.010309278350515464,0.0,0.041237113402061855,0.0,0.5257731958762887,0.23529411764705882,0.422680412371134,0.17073170731707318,0.6241610738255033,0.1935483870967742,0.026845637583892617,0.0,0.8456375838926175,0.1746031746031746,0.1342281879194631,0.1,0.020134228187919462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03355704697986577,0.0,0.4563758389261745,0.17647058823529413,0.11409395973154363,0.29411764705882354,0.09395973154362416,0.2857142857142857,0.087248322147651,0.07692307692307693,0.21476510067114093,0.125,0.174496644295302,0.013422818791946308,0.05,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ゴールドドリーム,69,サンデーサイレンス系,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7971014492753623,0.2545454545454545,0.13043478260869565,0.5555555555555556,0.043478260869565216,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.463768115942029,0.3125,0.043478260869565216,0.0,0.2463768115942029,0.17647058823529413,0.17391304347826086,0.3333333333333333,0.057971014492753624,0.0,0.2898550724637681,0.07246376811594203,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
サトノアラジン,78,サンデーサイレンス系,1746.6666666666667,0.09523809523809523,0.0,0.47619047619047616,0.1,0.3333333333333333,0.42857142857142855,0.09523809523809523,0.0,0.24358974358974358,0.21052631578947367,0.02564102564102564,0.0,0.8974358974358975,0.22857142857142856,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.38461538461538464,0.13333333333333333,0.11538461538461539,0.3333333333333333,0.20512820512820512,0.125,0.20512820512820512,0.25,0.038461538461538464,0.0,0.20512820512820512,0.0641025641025641,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
サトノクラウン,56,ノーザンダンサー系,2046.6666666666667,0.125,0.0,0.041666666666666664,0.0,0.5416666666666666,0.07692307692307693,0.2916666666666667,0.2857142857142857,0.4107142857142857,0.17391304347826086,0.017857142857142856,0.0,0.7857142857142857,0.22727272727272727,0.17857142857142858,0.2,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.375,0.2857142857142857,0.03571428571428571,0.0,0.125,0.2857142857142857,0.125,0.0,0.30357142857142855,0.23529411764705882,0.23214285714285715,0.08928571428571429,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
サトノダイヤモンド,119,サンデーサイレンス系,2072.8260869565215,0.06521739130434782,0.0,0.13043478260869565,0.16666666666666666,0.5,0.17391304347826086,0.30434782608695654,0.21428571428571427,0.35294117647058826,0.11904761904761904,0.03361344537815126,0.0,0.8487394957983193,0.19801980198019803,0.1092436974789916,0.15384615384615385,0.03361344537815126,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025210084033613446,0.0,0.42016806722689076,0.22,0.08403361344537816,0.3,0.226890756302521,0.2222222222222222,0.12605042016806722,0.06666666666666667,0.11764705882352941,0.14285714285714285,0.20168067226890757,0.07563025210084033,0.1,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
サンダースノーThunder Snow(愛),56,サドラーズウェルズ系,1466.6666666666667,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.10714285714285714,0.16666666666666666,0.0,0.0,0.8571428571428571,0.1875,0.10714285714285714,0.3333333333333333,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.44642857142857145,0.2,0.16071428571428573,0.0,0.08928571428571429,0.2,0.10714285714285714,0.0,0.16071428571428573,0.4444444444444444,0.19642857142857142,0.08928571428571429,0.4,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
サートゥルナーリア,118,キングカメハメハ系,1827.906976744186,0.06976744186046512,0.0,0.2558139534883721,0.18181818181818182,0.627906976744186,0.2222222222222222,0.046511627906976744,0.0,0.3644067796610169,0.20930232558139536,0.0,0.0,0.8983050847457628,0.2830188679245283,0.06779661016949153,0.25,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.4067796610169492,0.3541666666666667,0.1271186440677966,0.4,0.2033898305084746,0.125,0.1694915254237288,0.15,0.059322033898305086,0.14285714285714285,0.2711864406779661,0.11016949152542373,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
シスキンSiskin(米),32,デインヒル系,1680.0,0.13333333333333333,0.0,0.3333333333333333,0.2,0.5333333333333333,0.25,0.0,0.0,0.46875,0.2,0.0,0.0,0.84375,0.2962962962962963,0.09375,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.35714285714285715,0.0,0.0,0.21875,0.42857142857142855,0.25,0.25,0.09375,0.0,0.3125,0.03125,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
シニスターミニスターSinister Minister(米),125,エーピーインディ系,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008,0.0,0.848,0.2830188679245283,0.104,0.15384615384615385,0.04,0.4,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.336,0.2619047619047619,0.152,0.5263157894736842,0.2,0.28,0.184,0.17391304347826086,0.088,0.18181818181818182,0.272,0.096,0.4,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
